parameter,effect,median,ci_low,ci_high,p_post,bf
mu[a],Factual truth,0.03,-0.05,0.1,8.33,0.02
mu[a],Interaction,0.04,-0.03,0.11,6.22,0.02
mu[a],Repetition status,-0.02,-0.09,0.06,9.76,0.01
mu[bias],Factual truth,0,-0.02,0.02,41.14,0.08
mu[bias],Interaction,-0.01,-0.03,0.01,33.06,0.1
mu[bias],Repetition status,0.02,-0,0.04,8.81,0.38
mu[ndt],Factual truth,0.01,-0.05,0.07,11.75,0.02
mu[ndt],Interaction,-0.02,-0.08,0.04,9.89,0.03
mu[ndt],Repetition status,-0.05,-0.11,0.01,4.62,0.06
mu[v],Factual truth,-0.02,-0.09,0.06,9.17,0.02
mu[v],Interaction,0.01,-0.06,0.09,9.78,0.02
mu[v],Repetition status,0.13,0.06,0.21,0.02,8
