parameter,effect,median,ci_low,ci_high,p_post,bf
mu_a,Factual truth,-0.07,-0.19,0.04,3.3,0.04
mu_a,Interaction,0.01,-0.11,0.12,6.35,0.02
mu_a,Repetition status,0.07,-0.05,0.19,3.43,0.04
mu_bias,Factual truth,-0,-0.13,0.11,6.55,0.12
mu_bias,Interaction,-0.07,-0.18,0.06,3.77,0.21
mu_bias,Repetition status,0.21,0.09,0.33,0.02,47.54
transf_mu_ndt,Factual truth,0.01,-0.14,0.15,5.32,0.04
transf_mu_ndt,Interaction,0,-0.14,0.15,5.29,0.04
transf_mu_ndt,Repetition status,-0.34,-0.48,-0.19,0,15183171897.99
transf_mu_v,Factual truth,-0.03,-0.12,0.05,7.04,0.03
transf_mu_v,Interaction,0.02,-0.06,0.11,7.61,0.03
transf_mu_v,Repetition status,0.28,0.19,0.36,0,Inf
