id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
1,1,1,1,1,0,6.15,0,2
1,2,1,0,1,1,4.47,1,1
1,3,1,0,0,0,5.95,1,3
1,4,1,0,1,0,4.63,0,1
1,5,1,1,1,0,4.46,0,2
1,6,1,0,0,0,4.71,1,3
1,7,1,1,1,1,8.1,1,2
1,8,1,1,1,1,3.52,1,2
1,9,1,1,0,1,3.27,0,4
1,10,1,1,0,1,5.91,0,4
1,11,1,1,0,0,4.12,1,4
1,12,1,1,0,1,4.52,0,4
1,13,1,0,1,0,7.97,0,1
1,14,1,1,1,1,4.81,1,2
1,15,1,0,0,0,5.85,1,3
1,16,1,1,1,1,3.88,1,2
1,17,1,1,1,1,3.66,1,2
1,18,1,0,0,0,6.94,1,3
1,19,1,0,1,0,5.52,0,1
1,20,1,0,0,1,3.92,0,3
1,21,1,0,1,1,4.97,1,1
1,22,1,1,0,1,6.02,0,4
1,23,1,0,0,0,8.06,1,3
1,24,1,1,0,1,6.88,0,4
1,25,1,1,1,0,5.85,0,2
1,26,1,0,1,1,4.83,1,1
1,27,1,1,0,1,4.33,0,4
1,28,1,0,0,0,6.86,1,3
1,29,1,1,0,0,3.85,1,4
1,30,1,0,1,0,8.36,0,1
1,31,1,0,0,1,8.06,0,3
1,32,1,1,1,1,2.37,1,2
1,33,1,0,1,0,4.81,0,1
1,34,1,1,0,0,2.71,1,4
1,35,1,0,1,0,2.63,0,1
1,36,1,1,0,0,4.39,1,4
1,37,1,1,1,0,5.4,0,2
1,38,1,0,0,1,6.92,0,3
1,39,1,0,1,0,4.63,0,1
1,40,1,0,0,1,8.75,0,3
1,41,1,1,0,0,3.49,1,4
1,42,1,1,0,1,3.35,0,4
1,43,1,0,0,0,4.82,1,3
1,45,1,1,0,1,2.56,0,4
1,46,1,0,0,0,5.32,1,3
1,47,1,0,1,1,7.71,1,1
1,48,1,1,1,1,2.69,1,2
1,49,1,1,1,1,2.46,1,2
1,50,1,1,0,1,3.2,0,4
1,51,1,1,1,1,6.36,1,2
1,52,1,1,0,1,3,0,4
1,53,1,0,1,1,4.4,1,1
1,54,1,0,1,1,3.69,1,1
1,55,1,0,0,1,4.2,0,3
1,56,1,1,1,1,6.16,1,2
1,57,1,0,0,0,7.68,1,3
1,59,1,1,1,1,3,1,2
1,60,1,0,1,1,3.02,1,1
2,1,1,0,0,1,4,0,3
2,2,1,0,1,1,3.69,1,1
2,3,1,1,0,0,4.44,1,4
2,4,1,0,1,1,2.23,1,1
2,5,1,0,1,0,3.79,0,1
2,6,1,0,0,1,2.55,0,3
2,7,1,1,0,1,2.94,0,4
2,8,1,1,0,1,3.18,0,4
2,9,1,0,0,0,2.65,1,3
2,10,1,1,1,1,2.26,1,2
2,11,1,1,1,1,2.35,1,2
2,12,1,0,0,1,3.02,0,3
2,13,1,0,1,0,3.61,0,1
2,14,1,1,1,1,2.67,1,2
2,15,1,0,1,0,2.82,0,1
2,16,1,1,0,1,1.66,0,4
2,17,1,1,1,1,2.6,1,2
2,18,1,1,1,1,3.57,1,2
2,19,1,1,1,0,2.7,0,2
2,20,1,0,1,0,2.91,0,1
2,21,1,0,0,1,2.88,0,3
2,22,1,0,0,1,2.42,0,3
2,23,1,0,1,1,3.45,1,1
2,24,1,1,0,0,3.53,1,4
2,25,1,0,0,1,4.48,0,3
2,26,1,1,1,1,3.17,1,2
2,27,1,1,1,0,3.04,0,2
2,28,1,0,0,1,4.56,0,3
2,29,1,0,0,1,2.6,0,3
2,30,1,0,0,0,3.89,1,3
2,31,1,1,1,1,2.3,1,2
2,32,1,1,0,1,3.33,0,4
2,33,1,1,0,1,2.1,0,4
2,34,1,1,0,1,1.85,0,4
2,35,1,0,0,1,3.48,0,3
2,36,1,1,1,1,4.49,1,2
