"","id","session","statements","M","SD","responses"
"1",73,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"2",18,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"3",43,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"4",44,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"5",74,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"6",19,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"7",16,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"8",59,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"9",46,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"10",21,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"11",20,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"12",27,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"13",36,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"14",48,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"15",67,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"16",42,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"17",17,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"18",60,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"19",56,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"20",4,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"21",75,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"22",47,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"23",22,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"24",1,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"25",52,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"26",9,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"27",11,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"28",37,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"29",72,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"30",40,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"31",12,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"32",65,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"33",23,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"34",39,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"35",29,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"36",70,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"37",50,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"38",58,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"39",15,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
