"","id","Question","Answer","statement_id","M","SD","responses"
"1",62,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"2",78,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"3",40,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"4",59,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"5",16,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"6",67,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"7",36,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"8",24,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"9",11,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"10",19,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"11",43,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"12",81,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"13",29,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"14",66,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"15",38,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"16",34,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"17",8,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"18",51,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"19",44,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"20",56,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"21",5,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"22",4,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"23",61,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"24",37,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"25",73,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"26",70,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"27",57,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"28",42,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"29",12,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"30",77,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"31",50,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"32",2,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"33",64,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"34",26,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"35",14,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"36",39,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"37",27,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"38",69,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"39",28,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"40",10,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"41",55,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"42",76,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"43",35,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"44",72,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"45",54,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"46",75,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"47",48,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"48",79,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"49",21,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"50",22,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"51",49,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"52",60,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"53",65,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"54",25,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"55",20,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"56",33,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"57",74,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"58",18,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"59",52,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"60",7,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
