variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu_v_1,0.02,0.02,0.03,0.03,-0.03,0.07,1,5322.34,5878.68
mu_v_2,0.17,0.17,0.04,0.03,0.11,0.23,1,4462.24,5109.89
mu_v_3,0.13,0.13,0.03,0.03,0.08,0.17,1,6453.65,5820.39
mu_v_4,0.17,0.17,0.03,0.03,0.11,0.22,1,5109.01,5343.89
mu_a_1,2.9,2.89,0.07,0.07,2.78,3.01,1,3758.64,4862.8
mu_a_2,2.86,2.86,0.07,0.07,2.75,2.97,1,3513.75,4254.11
mu_a_3,2.91,2.9,0.07,0.07,2.79,3.03,1,3674.84,4871.46
mu_a_4,2.82,2.82,0.07,0.07,2.71,2.94,1,3375.69,4943.55
mu_ndt_1,1.94,1.94,0.08,0.08,1.81,2.06,1.01,739.53,1160.14
mu_ndt_2,1.86,1.86,0.08,0.07,1.73,1.98,1,846.73,1554.95
mu_ndt_3,1.9,1.9,0.07,0.07,1.79,2.01,1,898.86,1983.78
mu_ndt_4,1.81,1.81,0.07,0.07,1.7,1.92,1,765.35,1643.39
mu_bias_1,0.52,0.52,0.01,0.01,0.5,0.54,1,6094.05,6308.72
mu_bias_2,0.53,0.53,0.01,0.01,0.51,0.55,1,5577.44,5400.35
mu_bias_3,0.51,0.51,0.01,0.01,0.49,0.53,1,5713.61,5410.6
mu_bias_4,0.54,0.54,0.01,0.01,0.52,0.56,1,5612.03,6002.54
