parameter,effect,median,ci_low,ci_high,p_post,bf
mu_a,Factual truth,0.02,-0.1,0.15,5.95,0.02
mu_a,Interaction,0.04,-0.08,0.17,5.05,0.03
mu_a,Repetition status,-0.03,-0.16,0.1,5.4,0.02
mu_bias,Factual truth,-0.07,-0.19,0.04,3.5,0.23
mu_bias,Interaction,-0.02,-0.14,0.09,6.11,0.13
mu_bias,Repetition status,0.26,0.15,0.38,0,532.5
transf_mu_a,Factual truth,0.02,-0.09,0.13,6.84,NA
transf_mu_a,Interaction,0.04,-0.07,0.15,5.81,NA
transf_mu_a,Repetition status,-0.03,-0.14,0.08,6.21,NA
transf_mu_bias,Factual truth,-0.02,-0.04,0.01,14.97,NA
transf_mu_bias,Interaction,-0.01,-0.03,0.02,26.54,NA
transf_mu_bias,Repetition status,0.06,0.04,0.09,0.01,NA
transf_mu_ndt,Factual truth,0.01,-0.04,0.06,13.55,0.01
transf_mu_ndt,Interaction,-0.02,-0.07,0.03,11.16,0.02
transf_mu_ndt,Repetition status,-0.02,-0.08,0.03,9.83,0.02
transf_mu_v,Factual truth,0.03,-0.05,0.09,8.83,0.02
transf_mu_v,Interaction,0,-0.07,0.07,11.15,0.02
transf_mu_v,Repetition status,0.04,-0.02,0.11,5.4,0.04
