parameter,effect,median,ci_lower,ci_upper,BF
a,repetition,0.1069318,-0.000864757500000001,0.22132605,0.4521905117856002
a,factual_truth,-0.06695646,-0.1720407675,0.0340839025,0.1595864439836575
a,interaction,-0.0855139,-0.1927489025,0.01958314725,0.24519985686297402
bias,repetition,0.18193929999999997,0.0615891,0.3021730475,7.708970136455599
bias,factual_truth,-0.011110475,-0.129186305,0.1033890975,0.08610843907664116
bias,interaction,0.09281885000000001,-0.0243099525,0.21449379925,0.2962832167373163
ndt,repetition,-0.0614167,-0.1350852875,0.0117081349999999,0.1989079125186887
ndt,factual_truth,-4.349999999998452e-6,-0.07423304,0.073019365,0.052805426796963546
ndt,interaction,0.00505111,-0.0663727445,0.0770663475,0.05179439663098584
ndt_var,repetition,-0.21548805,-0.4454795625,-0.00708978500000005,1.0335446004457742
ndt_var,factual_truth,7.492999999999996e-4,-0.19963089125,0.20428644,0.14319151234346195
ndt_var,interaction,0.14163389999999998,-0.0733397175,0.362953325,0.3481611684101126
v,repetition,0.05462455,-0.0136821575,0.12182570125,0.1604384429346221
v,factual_truth,0.020836799999999996,-0.0461119725,0.0864503425,0.05920306531225999
v,interaction,-0.06203665,-0.1316499675,0.00388036624999999,0.24358429150145072
