parameter,effect,Session_1,Session_2,Exp_2,Exp_2_rt_total
v_betas,Repetition,"0.08 [0.03, 0.13]","0.02 [-0.02, 0.07]","0.02 [-0.01, 0.05]","0.06 [0.03, 0.09]"
v_betas,Factual truth,"-0.02 [-0.07, 0.03]","-0.04 [-0.08, 0.00]","0.02 [-0.01, 0.05]","0.01 [-0.02, 0.04]"
v_betas,Interaction,"-0.03 [-0.08, 0.02]","0.03 [-0.01, 0.08]","0.01 [-0.02, 0.04]","0.01 [-0.02, 0.04]"
a_betas,Repetition,"0.11 [0.03, 0.19]","0.00 [-0.08, 0.08]","0.01 [-0.03, 0.05]","0.01 [-0.03, 0.06]"
a_betas,Factual truth,"-0.06 [-0.13, 0.01]","0.00 [-0.07, 0.08]","0.03 [-0.01, 0.07]","-0.01 [-0.06, 0.04]"
a_betas,Interaction,"-0.03 [-0.10, 0.04]","0.06 [-0.02, 0.14]","-0.00 [-0.04, 0.04]","-0.00 [-0.05, 0.05]"
bias_betas,Repetition,"0.27 [0.18, 0.36]","0.09 [0.01, 0.17]","0.12 [0.08, 0.17]","0.02 [-0.04, 0.08]"
bias_betas,Factual truth,"-0.01 [-0.10, 0.08]","0.00 [-0.07, 0.08]","-0.04 [-0.08, 0.01]","-0.03 [-0.08, 0.03]"
bias_betas,Interaction,"0.07 [-0.02, 0.16]","-0.03 [-0.10, 0.05]","-0.01 [-0.05, 0.04]","-0.00 [-0.06, 0.06]"
ndt_betas,Repetition,"-0.11 [-0.17, -0.06]","-0.05 [-0.10, -0.00]","-0.00 [-0.03, 0.02]","-0.02 [-0.05, 0.01]"
ndt_betas,Factual truth,"-0.01 [-0.06, 0.04]","-0.01 [-0.06, 0.04]","0.01 [-0.02, 0.03]","0.01 [-0.02, 0.03]"
ndt_betas,Interaction,"-0.00 [-0.06, 0.05]","-0.01 [-0.06, 0.04]","0.01 [-0.01, 0.03]","0.01 [-0.02, 0.03]"
ndt_var_betas,Repetition,"-0.26 [-0.41, -0.11]","-0.04 [-0.20, 0.12]","-0.11 [-0.20, -0.02]","-0.12 [-0.19, -0.05]"
ndt_var_betas,Factual truth,"0.05 [-0.07, 0.19]","0.05 [-0.10, 0.21]","-0.02 [-0.10, 0.07]","0.03 [-0.04, 0.10]"
ndt_var_betas,Interaction,"0.07 [-0.07, 0.20]","-0.07 [-0.25, 0.09]","-0.06 [-0.14, 0.03]","-0.04 [-0.12, 0.03]"
