variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
transf_mu_v[1],0.0020841254112299993,0.001780405,0.03263775569109232,0.032272577042999996,-0.051667569999999996,0.05597147999999997,1.0002614842509934,7533.424050375255,6221.4699179026375
transf_mu_v[2],0.12282441402,0.121945,0.03463998181468921,0.03446296286999999,0.06723525,0.18094164999999998,1.0001704487696534,7112.241388493573,6011.192020879708
transf_mu_v[3],0.0066059384571587505,0.006198260000000001,0.03136929036796321,0.030751436855999997,-0.04479304,0.059075119999999946,1.0001720853679639,9371.781806045901,6641.421645886456
transf_mu_v[4],0.1505577496802125,0.15045949999999997,0.05173426714606459,0.05181316350000005,0.06579147,0.23683119999999994,1.0006169398501046,3277.01146800626,4830.075124060938
transf_mu_a[1],2.4456038987500004,2.4456500000000005,0.03485588161519736,0.03525622799999921,2.3884995,2.5023725,1.0001735066537913,9100.70562414571,6964.745371687086
transf_mu_a[2],2.3915251250000003,2.391755,0.03617414745923422,0.036256983000000825,2.3310095,2.4509710000000005,1.0004095690318746,9002.27888771894,6982.391176102779
transf_mu_a[3],2.38075390875,2.3803500000000004,0.03685670587939471,0.03758390999999997,2.3207580000000005,2.4410665000000003,1.000534731731393,8837.630680441769,6309.055038232791
transf_mu_a[4],2.4024045750000003,2.40248,0.03743278432954468,0.03748012799999995,2.3413545000000004,2.4639605,1.0002159950724263,9123.34848527135,6696.35002761714
transf_mu_ndt[1],0.844127631875,0.843702,0.032106375221042024,0.03171874440000003,0.7928235499999999,0.8979463999999999,1.0005200092527242,14619.994685439291,6045.874476418396
transf_mu_ndt[2],0.8201627418749999,0.8203175,0.0282711085033864,0.027508160400000103,0.7735352499999999,0.8668666999999999,1.0009066413619851,14607.742917582738,5538.931509256963
transf_mu_ndt[3],0.8527729023749999,0.852897,0.03199710511396389,0.031448911200000096,0.79996965,0.90576845,1.0007247737416918,16739.25375704251,6282.4482444917185
transf_mu_ndt[4],0.785736408125,0.785587,0.030480998658877052,0.030571211999999955,0.7368105,0.8356005999999999,0.9999392616367637,14884.859497200458,5959.550478154532
transf_mu_bias[1],0.562244418625,0.562167,0.009590677694522312,0.009639865199999929,0.54639295,0.5779608500000001,1.0012231198401127,11207.47237525133,6893.0796779999555
transf_mu_bias[2],0.5889386947499999,0.5890335,0.01136841605043375,0.011213645099999918,0.5701186000000001,0.60771295,1.0004341804552284,7778.886348146393,6345.289430795563
transf_mu_bias[3],0.567532579125,0.5674315,0.011418122002698065,0.011420467800000023,0.5489692,0.58623655,1.0002667824425904,7973.799884031701,6630.713352850429
transf_mu_bias[4],0.579656589875,0.5795975,0.010495488669672516,0.010386354299999996,0.56228295,0.59691925,1.0000436811640787,10429.68694261346,6419.330727913177
