Parameter,Factual_Truth,Repetition,Session_1,Session_2,Exp_2,Exp_2_rt_total
v,True,New,"0.00 [-0.10, 0.11]","0.01 [-0.09, 0.10]","-0.03 [-0.10, 0.03]","0.09 [0.02, 0.16]"
v,True,Repeated,"0.10 [-0.02, 0.20]","0.12 [0.02, 0.21]","0.03 [-0.03, 0.10]","0.23 [0.16, 0.29]"
v,False,New,"-0.02 [-0.13, 0.08]","0.15 [0.06, 0.24]","-0.04 [-0.10, 0.03]","0.09 [0.02, 0.15]"
v,False,Repeated,"0.19 [0.09, 0.29]","0.13 [0.03, 0.23]","-0.03 [-0.09, 0.04]","0.19 [0.12, 0.26]"
a,True,New,"2.03 [1.87, 2.19]","2.14 [1.96, 2.32]","2.08 [1.96, 2.21]","2.64 [2.51, 2.78]"
a,True,Repeated,"2.17 [1.99, 2.35]","2.24 [2.08, 2.41]","2.09 [1.97, 2.22]","2.67 [2.53, 2.81]"
a,False,New,"2.09 [1.92, 2.26]","2.24 [2.06, 2.41]","2.02 [1.90, 2.15]","2.66 [2.52, 2.80]"
a,False,Repeated,"2.33 [2.17, 2.50]","2.14 [1.96, 2.31]","2.04 [1.92, 2.17]","2.69 [2.55, 2.83]"
bias,True,New,"0.53 [0.48, 0.58]","0.54 [0.50, 0.58]","0.58 [0.55, 0.61]","0.51 [0.48, 0.54]"
bias,True,Repeated,"0.69 [0.64, 0.74]","0.57 [0.53, 0.61]","0.64 [0.61, 0.66]","0.52 [0.49, 0.55]"
bias,False,New,"0.57 [0.52, 0.61]","0.52 [0.48, 0.56]","0.59 [0.57, 0.62]","0.52 [0.49, 0.55]"
bias,False,Repeated,"0.66 [0.62, 0.71]","0.58 [0.54, 0.62]","0.66 [0.63, 0.68]","0.53 [0.50, 0.56]"
ndt,True,New,"1.74 [1.63, 1.85]","1.59 [1.49, 1.70]","0.65 [0.59, 0.70]","0.81 [0.75, 0.86]"
ndt,True,Repeated,"1.51 [1.40, 1.61]","1.47 [1.37, 1.58]","0.66 [0.61, 0.70]","0.78 [0.72, 0.83]"
ndt,False,New,"1.75 [1.64, 1.86]","1.59 [1.49, 1.70]","0.66 [0.61, 0.71]","0.81 [0.75, 0.86]"
ndt,False,Repeated,"1.53 [1.43, 1.64]","1.51 [1.41, 1.61]","0.63 [0.58, 0.67]","0.75 [0.69, 0.80]"
ndt_var,True,New,"2.22 [1.78, 2.66]","2.11 [1.63, 2.60]","0.58 [0.31, 0.83]","3.66 [3.37, 3.94]"
ndt_var,True,Repeated,"1.84 [1.36, 2.33]","1.89 [1.43, 2.34]","0.25 [-0.01, 0.50]","3.34 [3.07, 3.62]"
ndt_var,False,New,"2.25 [1.80, 2.70]","1.86 [1.35, 2.35]","0.51 [0.24, 0.76]","3.51 [3.25, 3.79]"
ndt_var,False,Repeated,"1.61 [1.13, 2.05]","1.94 [1.43, 2.42]","0.40 [0.14, 0.64]","3.37 [3.09, 3.64]"
