variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
transf_mu_v[1],0.01673732278494125,0.016592049999999997,0.03971561468561535,0.03947489217,-0.04760538499999999,0.08309418999999983,1.000483160040904,3941.256614561047,4879.669432192336
transf_mu_v[2],0.194285180075,0.193971,0.04709947131194254,0.047117028,0.116283,0.27114504999999994,1.0011568817692942,2942.402712744502,4336.335209374535
transf_mu_v[3],0.13788173679625,0.1377905,0.03749833468549275,0.036825560099999974,0.07685656,0.20013769999999995,1.0003573893413191,3967.6420806294723,4711.034409824346
transf_mu_v[4],0.18917234815,0.1885505,0.041606394900693094,0.0418033896,0.12085644999999999,0.25789264999999995,1.000193644968595,3902.4087015301952,5235.930965229736
transf_mu_a[1],2.8294922550000003,2.8292300000000004,0.056052240525901124,0.056064518999999896,2.7373795000000003,2.9205750000000004,1.0004387640561947,5057.375252520048,6048.667080850636
transf_mu_a[2],2.85016823125,2.84885,0.0502482599177536,0.050497355999999965,2.7681315,2.933832,0.9998496616611426,4309.986535959015,5643.204765018272
transf_mu_a[3],2.8093094250000004,2.80853,0.05899513529959904,0.05854046099999999,2.7143680000000003,2.907201,1.0005101308782947,3606.061890164137,5353.5170791256605
transf_mu_a[4],2.74184355,2.7417700000000003,0.04930438378866626,0.048369825000000186,2.6606170000000002,2.8238210000000006,1.0004197342155647,4645.946939952728,5237.109992324429
transf_mu_ndt[1],2.03129794125,2.03116,0.07585424665149554,0.07476010500000008,1.9051195,2.1555325,1.0017471780305265,7887.410930559335,5669.216573369234
transf_mu_ndt[2],1.92879355125,1.930425,0.079312502317126,0.07813301999999996,1.7965980000000001,2.057001,1.0000227714023904,7409.102039180301,5747.213546477266
transf_mu_ndt[3],2.0245194037500003,2.0239100000000003,0.06813682072528267,0.06756208199999983,1.9133080000000002,2.1355425,1.0001658352821627,7361.59994709027,5909.37145073086
transf_mu_ndt[4],1.9656502800000002,1.9655400000000003,0.0772022279072685,0.07635390000000014,1.8399775000000003,2.0928600000000004,1.000350990872614,7811.554054888144,6040.292924474544
transf_mu_bias[1],0.527828479375,0.5278185,0.013476966288444388,0.013214413800000005,0.50540715,0.55016615,1.0005218562914318,5806.208911839866,6596.641533696887
transf_mu_bias[2],0.5210668456249999,0.5209625,0.01475494494882475,0.014579888400000013,0.4971997,0.5449651999999999,1.0006058868835488,5082.145445791487,5727.787254097051
transf_mu_bias[3],0.5062727215,0.5063025,0.013973792725548039,0.013843036199999976,0.483797,0.5291793,1.0004931560389587,4975.472287659122,5840.075628405708
transf_mu_bias[4],0.537037128375,0.5370275,0.014149684789381346,0.014211462300000036,0.51387975,0.5604213499999999,1.0001459086152293,4856.328336187032,5033.729683783769
